Title,Length,Author,Общий,Фаира,Руфина,Вика,Лена,Саша,Гена,Голосов,Прочитана,Саша-оценки,Гена-оценки,Вика-оценки,,,
,,,420,65,71,71,71,71,71,,48,,,,,,
Маленький принц,"17,255",Экзюпери,24,1,1,4,12,5,1,6,,6,,,,,
Сандро из Чегема,,Искандер,13,1,1,2,3,4,2,6,,7,,,,,
Гордость и предубеждение,"99,760",Остин,12,2,2,1,3,1,3,6,,,10,10,,,
Убить пересмешника,"106,865",Ли,11,2,2,2,1,1,3,6,,,10,9,,,
Гекльберри Финн,"88,305",Твен,11,1,3,2,1,2,2,6,1,6,8,8,,,
Дворянское гнездо,"52,000",Тургенев,10,1,3,1,1,1,3,6,,,,,,,
Наедине с собой,"54,810",Марк Аврелий,6,1,1,1,1,1,1,6,1,,,,,,
Доктор Живаго,,Пастернак,5,1,1,1,1,1,,5,,7,,,,,
Мизери,"107,445",Кинг,9,2,2,1,,2,2,5,,,,,,,
Мертвые души,,Гоголь,9,1,,1,4,2,1,5,,9,,,,,
Крейцерова соната,"88,000",Толстой,7,,2,1,1,2,1,5,1,7,5,6,,,
Унесенные ветром,"426,590",Митчелл,7,2,2,1,1,,1,5,1,,10,10,,,
Иметь и не иметь,"47,125",Хемингуэй,7,1,1,,1,3,1,5,1,,1,6,,,
Заповедник,,Довлатов,7,1,1,1,1,3,,5,,8,,,,,
Грозовой перевал,"129,050","Бронте, Эмилия",6,1,,2,1,1,1,5,,,,8,,,
Башня из Черного Дерева,,Фаулз,6,1,2,,1,1,1,5,,7,,,,,
Град Обречённый,,Стругацкие,6,,1,2,1,1,1,5,,,8,,,,
Гамлет,"62,930",Шекспир,6,1,1,2,,1,1,5,,,,,,,
Нортенгерское аббатство,"72,065",Остин,5,1,,1,1,1,1,5,1,,8,9,,,
Москва-Петушки,,Ерофеев,5,1,1,1,,1,1,5,,7,,,,,
Острова в океане,,Хэмингуэй,14,1,7,,1,5,,4,1,8,,,,,
Маленькие женщины,,Элкотт,7,1,,1,4,,1,4,,,,7,,,
Джейн Эйр,,"Бронте, Шарлотта",7,1,,3,1,,2,4,,,10,9,,,
Сто лет одиночества,,Маркес,6,2,2,1,1,,,4,,7,7,,,,
Бремя страстей человеческих,,Моэм,6,3,1,,1,1,,4,,,,,,,
Театральный роман,,Булгаков,6,3,1,,,1,1,4,,,,,,,
Мастер и Маргарита,,Булгаков,7,1,1,1,,2,2,5,,10,10,9,,,
Мадам Бовари,,Флобер,5,1,1,1,,2,,4,,,,,,,
Остров Крым,"110,108",Аксенов,4,,1,1,1,,1,4,1,4,3,4,,,Бег 
Поединок,"46,000",Куприн,4,,1,1,1,1,,4,1,7,6,7,,,
Рассказы служанки,"105,270",Этвуд,4,1,,1,,1,1,4,1,2,5,6,,,
Капитанская дочка,,Пушкин,4,1,,1,1,1,,4,,7,6,,,,
Tощие ножки и не только,"108,000",Том Роббинс,4,1,1,1,,,1,4,1,,,,,,
"Рукопись, найденная в ванне",,Лем,4,,1,1,,1,1,4,,,,,,,
Потерянный рай,,Мильтон,4,,,1,1,1,1,4,,,9,,,,
Аэропорт,,Хейли,9,4,1,,3,1,,4,,6,7,,,,
Братья Карамазовы,,Достоевский,6,,,1,4,1,,3,,6,3,,,,
Эмма,,Остен,4,1,1,,,,2,3,,,,8,,,
Властелин колец,,Толкиен,4,,1,2,,,1,3,,,10,,,,
Король Лир,,Шекспир,4,,,1,1,,2,3,,,,,,,
Лолита,,Набоков,4,1,2,,,,1,3,,,,,,,
Раковый корпус,,Солженицын,4,,,,2,1,1,3,,7,,,,,
Божественная комедия,,Данте,3,,1,1,,,1,3,,,6,,,,
Над пропастью во ржи,,Селинджер,4,1,,1,1,,1,4,,,,,,,
Фауст,,Гете,3,1,1,,,,1,3,,,8,,,,
Царь Петр Алексеевич,,Акунин,3,,,1,,1,1,3,,,,,,,
Полтава,,Пушкин,3,,,1,1,1,,3,,,,,,,
Леди Макбет Мценского Уезда,,Лесков,3,1,,1,,1,,3,,7,,,,,
Гиперион,,Симмонс,3,,1,1,,,1,3,,,9,,,,
Тёмные аллеи,,Бунин,3,1,,1,,1,,3,,,,,,,
Женщина французского лентенанта,,Фаулз,3,1,,,1,1,,3,,,,6,,,
Отверженные,,Гюго,3,,,,1,1,1,3,,,,,,,
Дуэль,,Чехов,3,,,1,,1,1,3,,,,,,,
"Богач, бедняк",,Ирвинг Шоу,4,1,1,,,1,1,4,,6,,,,,
Последний единорог,,Бигль,3,,1,1,,,1,3,,,,,,,
Семья,,Уоллер,5,4,,1,,,,2,,,,,,,
Желтухин,,Рубина,4,1,3,,,,,2,,,,,,,
Фиеста (И восходит солнце),,Хемингуэй,2,,1,,,1,,2,,,,,,,
Сильмариллион,,Толкиен,3,,,2,,,1,2,,,10,,,,
Lord of Light,,Желязны,2,,1,1,,,,2,,,,,,,
Иудейская война,,Фейхтвангер,2,,,,1,1,,2,,,,,,,
Эксцессия,,Бэнкс,2,,,1,,1,,2,,,,,,,
Автостопом по галактике,,Адамс,2,,1,,,1,,2,,,8,8,,,
Сумерки,,Глуховский,2,,,1,,,1,2,,5,,,,,
Игра Эндера,,Кард,2,,,1,,,1,2,,,9,,,,
Илиум,,Симмонс,2,,1,,,,1,2,,,,,,,
Имя розы,,Эко,2,,,1,,,1,2,,7,,,,,
Мэнсфилд Парк,,Остен,2,,,1,,,1,2,,,,7,,,
Пламя над бездной,,Виндж,2,1,1,,,,,2,,,9,,,,
Дракула,,Стокер,2,,,1,,,1,2,,,6,,,,
Белая гвардия,,Булгаков,2,,,1,,,1,2,,,,,,,
Ревизор,,Гоголь,2,,,1,,,1,2,,,,,,,
Gateway,,Pohl,2,,,1,,,1,2,,,,,,,
Любовь во время холеры,,Маркес,2,1,,,,1,,2,,,,,,,
Макбет,,Шекспир,2,,,1,,,1,2,,,,,,,
Цветы для Элджернона,,Кейз,3,,1,,1,,1,3,,,,10,,,
Детектив,,Хейли,3,3,,,,,,1,,,,,,,
Перегрузка,,Хейли,3,3,,,,,,1,,,,,,,
Портрет Дориана Грея,,Уаилд,1,,,,1,,,1,,,5,6,,,
Мысли,,Паскаль,1,,,,1,,,1,,,,,,,
Робинзон Крузо,,Дэфо,1,,,,1,,,1,,8,,8,,,
Бетагемот,,Уоттс,1,,1,,,,,1,,,,,,,
Волхв,,Фаулз,1,,1,,,,,1,,7,7,,,,
Гроздья гнева,,Стейнбек,1,,,,,,1,1,,5,,,,,
Грустный бэби,,Аксенов,1,,1,,,,,1,, ,,,,,
Дзен и искусство ухода за мотоциклом,,Пёрсиг,1,,,1,,,,1,,7,8,,,,
Дюна,,Герберт,1,,,1,,,,1,,,6,,,,
Морской Волк,,Лондон,1,,,,,,1,1,,6,6,,,,
Осень Патриарха,,Маркес,1,1,,,,,,1,,,,,,,
Пошехонская старина,,Салтыков-Щедрин,1,,1,,,,,1,1,6,2,4,,,
Темные начала,,Пуллман,1,,,,,,1,1,,,,,,,
Тихий Дон,,Шолохов,1,1,,,,,,1,,8,9,9,,,
Уловка 22,,Хеллер,1,,,1,,,,1,,,,,,,
Конец радуг,,Виндж,1,,1,,,,,1,,технологии будущего,8,,,,
Дом листьев,,Данилевский,1,,,,,,1,1,,,,,,,
Парк Юрского Периода,,Крайтон,1,,,,1,,,1,,,,,,,
Рой,,Крайтон,1,,,,1,,,1,,,,,,,
Гарри Поттер,,Роулинг,1,,1,,,,,1,,,9,9,,,
Господа Головлевы,,Салтыков-Щедрин,1,,,,1,,,1,,,,,,,
Обломов,,Гончаров,1,,,,1,,,1,,,,,,,
Черный принц,,Айрис Мердок,1,,1,,,,,1,,,,,,,
Snuff,,Пелевин,1,,,,,1,,1,,7,,,,,
В августе 44,,Богомолов,1,,,,,1,,1,,9,,,,,
Чонкин,,Войнович,1,,,,,1,,1,,,,,,,
письма к незнакомке,,моруа,1,,1,,,,,1,,,,,,,
1984,,Оруэл,1,,,,1,,,1,,,,,,,
A Prayer for Owen Meany,,Джон Ирвинг,1,,,,,,1,1,,,,,,,
Чума,,Камю,1,,,,,1,,1,,,,,,,
В круге первом,,Солженицын,1,,,,,1,,1,,7,,,,,
Отель,,Хейли,0,,,,,,,0,,,,,,,
Герой нашего времени,,Лермонтов,0,,0,,,,,0,,7,,,,,
Борис Годунов,,Пушкин,0,,,,,,,0,,,,,,,
Давид Копперфильд,,Диккенс,0,,,,,,,0,,,,,,,
Theory of moral sentiment,,Адам Смит,0,,,,,,,0,,,,,,,
wealth of Nations,,Адам Смит,0,,,,,,,0,,,,,,,
Американские боги,,Гайман,0,,,,,,,0,,,8,8,,,
Анна Каренина,"345,680",Толстой,0,,,,,,,0,1,8,9,9,,,
Бесприданница,,Островский,0,,,,,,,0,,,,,,,
Война и мир,,Толстой,0,,,,,,,0,,9,,,,,
Голодные игры,,Коллинз,0,,,,,,,0,,,7,6,,,
Дорога,,Кормак Маккарти,0,,,,,,,0,,антиутопия,5,,,,
Евгений Онегин,,Пушкин,0,,,,,,,0,,,10,,,,
По ком звонит колокол,,Хемингуэй,0,,,,,,,0,,4,,,,,
Горе от ума,,Грибоедов,0,,,,,,,0,,,,,,,
Бесконечная шутка,,David Foster Wallace,0,,,,,,,0,,,,,,,
Пленница,,Пруст,0,,,,,,,0,,,,,,,
Беглянка,,Пруст,0,,,,,,,0,,,,,,,
Пикник на обочине,,Стругацкие,0,,,,,,,0,,8,10,,,,
Рябиновый клин,,Рубина,0,,,,,,,0,,,,,,,
Пролетая над гнездом кукушки ,,Кизи,0,,,,,,,0,,,,,,,
Консуэло,,Жорж  Санд,0,,,,,,,0,,,,,,,
,,,0,,,,,,,0,,,,,,,
,,,0,,,,,,,0,,,,,,,
,,,0,,,,,,,0,,,,,,,
,,,0,,,,,,,0,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,
